Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,81.559998,86.790001,81.379997,85.849998,82.411133,21048400
2020-09-16,86.489998,86.489998,83.040001,83.129997,79.800102,14492600
2020-09-17,81.000000,82.290001,80.610001,81.910004,79.034950,10090200
2020-09-18,82.370003,82.839996,80.110001,80.230003,77.413910,10528300
2020-09-21,79.800003,80.650002,79.080002,80.589996,77.761261,8417100
2020-09-22,80.830002,80.889999,79.400002,80.480003,77.655136,6375200
2020-09-23,79.699997,79.930000,77.889999,77.919998,75.184982,9094700
2020-09-24,76.820000,79.000000,76.169998,78.379997,75.628838,9940900
2020-09-25,78.169998,78.919998,77.389999,78.879997,76.111298,6057500
2020-09-28,80.309998,80.370003,79.470001,79.769997,76.970047,5999300
2020-09-29,79.699997,81.239998,79.309998,80.510002,77.684090,6114600
2020-09-30,80.589996,81.940002,80.570000,81.070000,78.224411,5878900
2020-10-01,82.059998,82.720001,81.739998,82.620003,79.720016,6253800
2020-10-02,80.709999,82.199997,80.610001,80.800003,77.963898,6145900
2020-10-05,81.550003,84.629997,81.550003,84.540001,81.572632,10129100
2020-10-06,83.769997,84.449997,82.769997,83.120003,80.202477,7795600
2020-10-07,84.779999,87.000000,84.779999,86.919998,83.869080,11446400
2020-10-08,88.860001,88.860001,86.519997,87.800003,84.718185,10920800
2020-10-09,88.339996,88.800003,87.639999,88.779999,85.663795,7608800
2020-10-12,89.120003,91.269997,88.680000,90.910004,87.719040,10022000
2020-10-13,90.500000,90.650002,89.430000,89.639999,86.493614,8247000
2020-10-14,89.650002,89.879997,88.269997,88.599998,85.490120,8159000
2020-10-15,87.290001,89.489998,87.190002,88.150002,85.055908,10327900
2020-10-16,88.550003,88.589996,86.440002,86.699997,83.656807,7457200
2020-10-19,88.339996,89.620003,87.290001,87.559998,84.486618,7994500
2020-10-20,87.790001,88.980003,87.769997,88.260002,85.162056,7357600
2020-10-21,88.000000,88.870003,87.570000,87.639999,84.563805,7387600
2020-10-22,88.440002,88.940002,87.879997,88.209999,85.113800,5656200
2020-10-23,88.250000,88.449997,87.430000,88.309998,85.210274,4165400
2020-10-26,87.209999,87.779999,85.769997,86.730003,83.685760,5568000
2020-10-27,86.959999,87.220001,85.980003,86.709999,83.666458,5315800
2020-10-28,85.150002,85.410004,83.839996,83.849998,80.906837,8727300
2020-10-29,84.269997,85.330002,84.019997,84.889999,81.910339,5845600
2020-10-30,84.430000,84.750000,83.160004,83.870003,80.926147,4963600
2020-11-02,84.599998,85.959999,84.529999,85.709999,82.701553,6597100
2020-11-03,86.190002,88.239998,86.059998,87.690002,84.612053,6274700
2020-11-04,88.720001,89.769997,88.459999,89.449997,86.310280,7620800
2020-11-05,90.419998,90.959999,89.769997,90.430000,87.255867,6670100
2020-11-06,89.809998,91.500000,89.050003,91.410004,88.201485,6403000
2020-11-09,92.199997,92.480003,88.940002,89.029999,85.905014,8978000
2020-11-10,88.400002,88.800003,86.699997,87.660004,84.583107,8350100
2020-11-11,89.500000,91.180000,89.360001,90.879997,87.690079,7707300
2020-11-12,90.879997,91.889999,89.779999,89.820000,86.667297,7474600
2020-11-13,91.540001,93.809998,91.209999,93.220001,89.947937,9170900
2020-11-16,96.419998,102.440002,96.360001,99.269997,95.785591,18436200
2020-11-17,97.980003,98.089996,95.690002,95.709999,92.350555,10843700
2020-11-18,98.519997,98.800003,96.370003,96.930000,93.527740,8526600
2020-11-19,96.769997,96.860001,95.620003,96.610001,93.218971,5542800
2020-11-20,96.660004,97.199997,95.300003,95.330002,91.983894,5329800
2020-11-23,97.160004,98.930000,96.849998,98.129997,94.685600,8802400
2020-11-24,98.489998,98.589996,96.019997,96.639999,93.247910,7022800
2020-11-25,96.199997,97.989998,96.139999,97.489998,94.068062,5194900
2020-11-27,98.540001,99.269997,98.050003,98.739998,95.274200,4367100
2020-11-30,97.559998,97.949997,96.199997,97.019997,93.614571,13840500
2020-12-01,98.690002,104.300003,98.519997,100.860001,97.319786,16157300
2020-12-02,102.000000,102.040001,99.519997,99.540001,96.046120,8676300
2020-12-03,101.059998,101.190002,99.430000,99.500000,96.007530,7359000
2020-12-04,101.510002,103.750000,100.699997,103.730003,100.089050,10824500
2020-12-07,106.019997,107.610001,104.970001,106.389999,102.655678,11793000
2020-12-08,107.779999,107.839996,105.110001,105.639999,101.932014,9876200
2020-12-09,106.010002,106.599998,103.510002,104.419998,100.754837,8204100
2020-12-10,103.000000,105.110001,102.199997,104.230003,100.571495,7135000
2020-12-11,104.010002,105.120003,103.220001,104.029999,100.378517,7492600
2020-12-14,103.769997,104.900002,103.500000,103.559998,99.925018,5878000
2020-12-15,105.680000,106.379997,104.419998,105.089996,101.401314,7399900
2020-12-16,105.650002,105.669998,103.959999,105.199997,101.507446,5986900
2020-12-17,104.900002,105.320000,103.849998,103.900002,100.676064,7779300
2020-12-18,104.000000,104.800003,103.160004,104.279999,101.044281,7417000
2020-12-21,103.559998,104.959999,103.320000,104.830002,101.577225,6116400
2020-12-22,105.070000,105.220001,102.910004,103.940002,100.714828,5597100
2020-12-23,104.669998,104.870003,103.599998,103.760002,100.540413,3320800
2020-12-24,104.760002,106.339996,104.669998,105.970001,102.681847,3172100
2020-12-28,107.599998,108.169998,105.949997,106.150002,102.856262,5157000
2020-12-29,107.000000,107.150002,105.220001,105.559998,102.284561,4602400
2020-12-30,107.699997,109.699997,107.400002,108.900002,105.520927,9571800
2020-12-31,109.660004,109.669998,108.440002,109.040001,105.656586,4909500
2021-01-04,111.470001,114.099998,110.449997,111.699997,108.234039,11262100
2021-01-05,112.410004,114.949997,112.010002,112.769997,109.270836,10583600
2021-01-06,113.849998,116.389999,112.550003,115.610001,112.022728,10609300
2021-01-07,119.339996,122.940002,117.589996,121.430000,117.662132,13556100
2021-01-08,125.910004,126.290001,116.980003,118.690002,115.007164,18976800
2021-01-11,119.739998,123.599998,118.800003,122.599998,118.795815,12006800
2021-01-12,125.160004,125.199997,121.680000,123.000000,119.183426,14163200
2021-01-13,124.400002,124.800003,118.000000,119.230003,115.530396,20650500
2021-01-14,123.449997,134.649994,121.669998,126.449997,122.526360,37125400
2021-01-15,128.470001,128.539993,123.209999,125.230003,121.344223,17343100
2021-01-19,130.589996,134.050003,128.440002,131.300003,127.225883,20443800
2021-01-20,135.190002,136.130005,130.100006,130.639999,126.586349,17360700
2021-01-21,133.250000,135.399994,132.339996,134.160004,129.997116,15460100
2021-01-22,130.039993,131.250000,128.809998,129.139999,125.132919,19163200
2021-01-25,131.830002,132.169998,127.349998,130.520004,126.470100,20469300
2021-01-26,129.050003,129.320007,126.250000,126.650002,122.720161,17084600
2021-01-27,124.949997,125.099998,121.500000,121.739998,117.962509,16732700
2021-01-28,124.500000,127.580002,123.580002,125.830002,121.925598,14148100
2021-01-29,124.000000,124.360001,120.550003,121.519997,117.749336,15169200
2021-02-01,124.540001,126.849998,123.379997,126.660004,122.729843,10179900
2021-02-02,129.470001,130.250000,127.449997,128.440002,124.454636,9302400
2021-02-03,129.000000,129.139999,126.059998,127.500000,123.543777,9676600
2021-02-04,127.500000,128.199997,125.970001,128.149994,124.173615,7445100
2021-02-05,128.789993,128.880005,126.699997,127.779999,123.815086,6226800
2021-02-08,128.699997,133.250000,128.699997,132.550003,128.437103,11160000
2021-02-09,133.979996,134.410004,131.750000,132.679993,128.563049,7929100
2021-02-10,134.119995,136.000000,132.509995,133.690002,129.541702,12196300
2021-02-11,135.399994,139.229996,134.059998,139.160004,134.841995,12347900
2021-02-12,138.919998,139.809998,137.160004,138.059998,133.776077,11114100
2021-02-16,141.610001,142.199997,139.419998,140.050003,135.704376,11833600
2021-02-17,139.210007,139.639999,136.100006,136.270004,132.041687,12311200
2021-02-18,134.850006,135.880005,133.399994,134.630005,130.452545,11614600
2021-02-19,136.149994,137.949997,135.720001,136.660004,132.419556,10771900
2021-02-22,133.589996,135.279999,133.179993,133.570007,129.425430,10363800
2021-02-23,129.100006,131.740005,125.379997,129.100006,125.094147,18444700
2021-02-24,129.509995,132.380005,127.680000,132.300003,128.194855,12782900
2021-02-25,131.520004,131.539993,125.720001,126.000000,122.090332,13581200
2021-02-26,125.430000,127.389999,122.830002,125.940002,122.032196,17281000
2021-03-01,129.630005,130.300003,127.239998,129.130005,125.123207,9714900
2021-03-02,128.429993,128.520004,126.000000,126.000000,122.090332,8274500
2021-03-03,126.720001,127.760002,122.709999,122.889999,119.076836,10660300
2021-03-04,121.949997,123.150002,113.489998,115.589996,112.003334,24454200
2021-03-05,120.900002,121.300003,115.379997,120.800003,117.051682,17448700
2021-03-08,120.540001,121.000000,113.699997,113.930000,110.394852,17246900
2021-03-09,117.070000,118.400002,115.330002,116.379997,112.768822,17717100
2021-03-10,117.800003,118.029999,113.410004,113.830002,110.297958,15240300
2021-03-11,118.239998,120.800003,117.070000,120.580002,116.838509,15091600
2021-03-12,119.000000,119.000000,117.279999,118.300003,114.629257,8171000
2021-03-15,118.650002,119.110001,116.709999,119.080002,115.385063,8935000
2021-03-16,119.720001,121.250000,118.099998,119.349998,115.646675,10793400
2021-03-17,117.750000,119.519997,115.389999,118.760002,115.508560,9890400
2021-03-18,118.000000,118.330002,114.099998,114.500000,111.365196,10283800
2021-03-19,114.379997,114.889999,113.209999,113.629997,110.519012,11536000
2021-03-22,114.790001,118.330002,114.790001,117.180000,113.971809,9376400
2021-03-23,116.099998,116.750000,114.620003,114.889999,111.744514,8977400
2021-03-24,112.470001,114.690002,108.849998,108.959999,105.976875,24196100
2021-03-25,108.000000,112.750000,107.889999,110.449997,107.426064,16772400
2021-03-26,112.000000,116.699997,111.199997,116.559998,113.368797,12910900
2021-03-29,116.550003,116.760002,112.389999,114.389999,111.258209,10863600
2021-03-30,115.279999,116.089996,114.290001,115.070000,111.919579,8206200
2021-03-31,115.790001,118.360001,115.559998,118.279999,115.041702,9806500
2021-04-01,122.809998,124.879997,121.639999,124.800003,121.383194,17904000
2021-04-05,127.070000,127.400002,122.680000,124.500000,121.091408,14113900
2021-04-06,124.000000,124.010002,121.540001,122.440002,119.087814,13042300
2021-04-07,122.440002,122.610001,119.839996,119.889999,116.607620,11193200
2021-04-08,121.379997,123.820000,121.379997,123.430000,120.050713,10226700
2021-04-09,122.750000,123.440002,121.699997,122.800003,119.437958,8315200
2021-04-12,122.209999,122.459999,119.239998,120.900002,117.589966,9868400
2021-04-13,122.400002,122.900002,120.349998,121.269997,117.949837,8384800
2021-04-14,121.989998,122.430000,120.500000,120.839996,117.531609,9521900
2021-04-15,121.699997,122.000000,116.559998,118.349998,115.109787,18709100
2021-04-16,119.190002,120.599998,117.849998,118.839996,115.586357,9512100
2021-04-19,118.000000,118.879997,115.199997,115.400002,112.240555,12630300
2021-04-20,116.050003,116.779999,114.550003,114.949997,111.802864,9299200
2021-04-21,114.500000,117.489998,113.769997,117.400002,114.185791,8472200
2021-04-22,117.500000,117.500000,114.410004,115.320000,112.162750,7411800
2021-04-23,116.580002,118.720001,115.930000,118.639999,115.391846,8380300
2021-04-26,120.000000,121.540001,119.400002,121.519997,118.193001,8444000
2021-04-27,121.500000,121.650002,119.889999,121.269997,117.949837,5491800
2021-04-28,120.000000,120.419998,118.730003,119.660004,116.383919,6476500
2021-04-29,120.720001,120.830002,117.610001,119.099998,115.839249,8831800
2021-04-30,118.010002,118.180000,116.650002,116.739998,113.543861,7950700
2021-05-03,117.470001,117.550003,115.730003,115.940002,112.765778,10229500
2021-05-04,115.000000,115.820000,113.739998,115.360001,112.201645,9638300
2021-05-05,116.000000,116.489998,114.849998,115.379997,112.221092,7059000
2021-05-06,115.300003,117.639999,114.459999,117.000000,113.796753,8581700
2021-05-07,118.400002,119.419998,116.050003,116.830002,113.631401,9614300
2021-05-10,114.980003,115.379997,112.230003,112.309998,109.235153,12281200
2021-05-11,109.730003,112.989998,109.129997,112.849998,109.760368,10007700
2021-05-12,109.349998,110.089996,108.059998,108.209999,105.247391,15058900
2021-05-13,109.360001,111.430000,107.900002,108.750000,105.772614,10552000
